new_code	new_name	former_code	former_name
01	Guadeloupe	01	Guadeloupe
02	Martinique	02	Martinique
03	Guyane	03	Guyane
04	La Réunion	04	La Réunion
06	Mayotte	06	Mayotte
11	Île-de-France	11	Île-de-France
24	Centre-Val de Loire	24	Centre
27	Bourgogne-Franche-Comté	26	Bourgogne
27	Bourgogne-Franche-Comté	43	Franche-Comté
28	Normandie	23	Haute-Normandie
28	Normandie	25	Basse-Normandie
32	Hauts-de-France	31	Nord-Pas-de-Calais
32	Hauts-de-France	22	Picardie
44	Grand Est	41	Lorraine
44	Grand Est	42	Alsace
44	Grand Est	21	Champagne-Ardenne
52	Pays de la Loire	52	Pays de la Loire
53	Bretagne	53	Bretagne
75	Nouvelle-Aquitaine	72	Aquitaine
75	Nouvelle-Aquitaine	54	Poitou-Charentes
75	Nouvelle-Aquitaine	74	Limousin
76	Occitanie	73	Midi-Pyrénées
76	Occitanie	91	Languedoc-Roussillon
84	Auvergne-Rhône-Alpes	82	Rhône-Alpes
84	Auvergne-Rhône-Alpes	83	Auvergne
93	Provence-Alpes-Côte d'Azur	93	Provence-Alpes-Côte d'Azur
94	Corse	94	Corse
