canton_id	canton_name	type_article	region	departement
01	Ambérieu-en-Bugey	1	82	01
02	Attignat	1	82	01
03	Bellegarde-sur-Valserine	0	82	01
04	Belley	0	82	01
05	Bourg-en-Bresse-1	0	82	01
06	Bourg-en-Bresse-2	0	82	01
07	Ceyzériat	0	82	01
08	Châtillon-sur-Chalaronne	0	82	01
09	Gex	0	82	01
10	Hauteville-Lompnes	0	82	01
11	Lagnieu	0	82	01
12	Meximieux	0	82	01
13	Miribel	0	82	01
14	Nantua	0	82	01
15	Oyonnax	1	82	01
16	Pont-d'Ain	0	82	01
17	Replonges	0	82	01
18	Saint-Étienne-du-Bois	0	82	01
19	Saint-Genis-Pouilly	0	82	01
20	Thoiry	0	82	01
21	Trévoux	0	82	01
22	Villars-les-Dombes	0	82	01
23	Vonnas	0	82	01
01	Bohain-en-Vermandois	0	22	02
02	Château-Thierry	0	22	02
03	Chauny	0	22	02
04	Essômes-sur-Marne	1	22	02
05	Fère-en-Tardenois	0	22	02
06	Guignicourt	0	22	02
07	Guise	0	22	02
08	Hirson	1	22	02
09	Laon-1	0	22	02
10	Laon-2	0	22	02
11	Marle	0	22	02
12	Ribemont	0	22	02
13	Saint-Quentin-1	0	22	02
14	Saint-Quentin-2	0	22	02
15	Saint-Quentin-3	0	22	02
16	Soissons-1	0	22	02
17	Soissons-2	0	22	02
18	Tergnier	0	22	02
19	Vervins	0	22	02
20	Vic-sur-Aisne	0	22	02
21	Villers-Cotterêts	0	22	02
01	Bellerive-sur-Allier	0	83	03
02	Bourbon-l'Archambault	0	83	03
03	Commentry	0	83	03
04	Cusset	0	83	03
05	Dompierre-sur-Besbre	0	83	03
06	Gannat	0	83	03
07	Huriel	1	83	03
08	Lapalisse	0	83	03
09	Montluçon-1	0	83	03
10	Montluçon-2	0	83	03
11	Montluçon-3	0	83	03
12	Montluçon-4	0	83	03
13	Moulins-1	0	83	03
14	Moulins-2	0	83	03
15	Saint-Pourçain-sur-Sioule	0	83	03
16	Souvigny	0	83	03
17	Vichy-1	0	83	03
18	Vichy-2	0	83	03
19	Yzeure	1	83	03
01	Barcelonnette	0	93	04
02	Castellane	0	93	04
03	Château-Arnoux-Saint-Auban	0	93	04
04	Digne-les-Bains-1	0	93	04
05	Digne-les-Bains-2	0	93	04
06	Forcalquier	0	93	04
07	Manosque-1	0	93	04
08	Manosque-2	0	93	04
09	Manosque-3	0	93	04
10	Oraison	1	93	04
11	Reillanne	0	93	04
12	Riez	0	93	04
13	Seyne	0	93	04
14	Sisteron	0	93	04
