region_id	region_name	article	charniere	chef_lieu
01	Guadeloupe	la	de la	97105
02	Martinique	la	de la	97209
03	Guyane	la	de la	97302
04	La Réunion		de	97411
06	Mayotte		de	97608
11	Île-de-France		d'	75056
21	Champagne-Ardenne		de	51108
22	Picardie		de	80021
23	Haute-Normandie		de	76540
24	Centre	le	du	45234
25	Basse-Normandie		de	14118
26	Bourgogne		de	21231
31	Nord-Pas-de-Calais	le	du	59350
41	Lorraine		de	57463
42	Alsace		d'	67482
43	Franche-Comté		de	25056
52	Pays de la Loire	les	des	44109
53	Bretagne		de	35238
54	Poitou-Charentes	le	du	86194
72	Aquitaine		d'	33063
73	Midi-Pyrénées		de	31555
74	Limousin	le	du	87085
82	Rhône-Alpes		de	69123
83	Auvergne		d'	63113
91	Languedoc-Roussillon	le	du	34172
93	Provence-Alpes-Côte d'Azur		de	13055
94	Corse		de	2A004
